,access_string,title,size,age_range,type,tags,github_url
0,ds004166,"Effects of Forward and Backward Span Trainings on Working Memory: Evidence from a Randomized, Controlled Trial",77.37GB,18 - 27,EEG,,https: // github.com/OpenNeuroDatasets/ds004166
1,ds004161,Turone Sheep Chronic Stress (TSCS),16.07GB,4 - 4,MRI,topupResting-State,https: // github.com/OpenNeuroDatasets/ds004161
2,ds004158,rest_eye,19.87GB,19 - 54,MRI,rest,https: // github.com/OpenNeuroDatasets/ds004158
3,ds004152,Drum Trainer,4.55GB,21 - 41,EEG,drumtrainer,https: // github.com/OpenNeuroDatasets/ds004152
4,ds004151,Effect of obesity on inhibitory control in preadolescents during stop-signal task. An event-related potentials study,23.14GB,,EEG,Stop-signal task,https: // github.com/OpenNeuroDatasets/ds004151
5,ds004148,A test-retest resting and cognitive state EEG dataset,93.25GB,18 - 28,EEG,eyes closedmathematiceyes openmemorymusic,https: // github.com/OpenNeuroDatasets/ds004148
6,ds004147,Average Task Value,4GB,22 - 77,EEG,casinos,https: // github.com/OpenNeuroDatasets/ds004147
7,ds004146,Queensland Twin Adolescent Brain (QTAB),745.14GB,8 - 14,MRI,restpartlycloudyemotionalconflict,https: // github.com/OpenNeuroDatasets/ds004146
8,ds004144,"A behavioral, clinical and brain imaging dataset with focus on emotion regulation of females with fibromyalgia",17.9GB,,MRI,eprrestemo,https: // github.com/OpenNeuroDatasets/ds004144
9,ds004142,Exploring the Neural Correlates of Feedback-Related Reward Saliency and Valence During Real-Time fMRI-Based Neurofeedback,1.73GB,19 - 35,MRI,"nflocV5/hMT complex localizer based on moving points (for more information please refer to Sousa, T., Direito, B., Lima, J., Ferreira, C., Nunes, U., & Castelo-Branco, M. (2016). Control of Brain Activity in hMT+/V5 at Three Response Levels Using fMRI-Based Neurofeedback/BCI. Plos One, 11(5), e0155961. https://doi.org/10.1371/journal.pone.0155961)Neurofeedback task based on the imagery of moving points (volitional modulation of v5/hMT complex)",https: // github.com/OpenNeuroDatasets/ds004142
10,ds004141,Targeting Dynamic Facial Processing Mechanisms in Superior Temporal Sulcus Using fMRI Neurofeedback,1.69GB,21 - 31,MRI,auditoryfeedbackfaceexplocalizervisualfeedbacknofeedbackNeurofeedback task using imagery of facial expressions based on a auditory interfaceLocalizer approach based on the contrast of dynamic facial expressions against static neutral faces plus moving dots. The target region had to be specifically responsive to dynamic facial expressions instead ofmere motion and/or the presence of a static face.Functional task using imagery of facial expressions without feedback (control run)Neurofeedback task using imagery of facial expressions based on a visual interface,https: // github.com/OpenNeuroDatasets/ds004141
11,ds004134,Experience Sampling in Resting State,12.12GB,18 - 30,MRI,ExpSamp,https: // github.com/OpenNeuroDatasets/ds004134
12,ds004131,BIDS Phenotype External Example Dataset,10.03MB,18 - 89,MRI,,https: // github.com/OpenNeuroDatasets/ds004131
13,ds004130,BIDS Phenotype Aggregation Example Dataset,11.55MB,18 - 89,MRI,,https: // github.com/OpenNeuroDatasets/ds004130
14,ds004129,BIDS Phenotype Segregation Example Dataset,18.55MB,18 - 89,MRI,,https: // github.com/OpenNeuroDatasets/ds004129
15,ds004128,Neural representations of others' traits predict social decisions,6.98GB,18 - 64,MRI,DG,https: // github.com/OpenNeuroDatasets/ds004128
16,ds004126,Visual ECoG dataset,26.65GB,18 - 47,iEEGMRI,prfspatialpatterntemporalpatternsoc,https: // github.com/OpenNeuroDatasets/ds004126
17,ds004123,BCIT Traffic Complexity,17.52GB,,EEG,DriveWithComplexity,https: // github.com/OpenNeuroDatasets/ds004123
18,ds004122,BCIT Speed Control,36.16GB,,EEG,Drive,https: // github.com/OpenNeuroDatasets/ds004122
19,ds004121,BCIT Mind Wandering,23.91GB,,EEG,DriveWithTaskAudio,https: // github.com/OpenNeuroDatasets/ds004121
20,ds004120,BCIT Baseline Driving,302.49GB,,EEG,DriveWithSpeedChange,https: // github.com/OpenNeuroDatasets/ds004120
21,ds004119,BCIT Basic Guard Duty,55.14GB,,EEG,GuardDuty,https: // github.com/OpenNeuroDatasets/ds004119
22,ds004118,BCIT Calibration Driving,124.34GB,,EEG,Drive,https: // github.com/OpenNeuroDatasets/ds004118
23,ds004117,Sternberg Working Memory,5.8GB,19 - 40,EEG,WorkingMemory,https: // github.com/OpenNeuroDatasets/ds004117
24,ds004116,StandardRat,26.38GB,,MRI,rest,https: // github.com/OpenNeuroDatasets/ds004116
25,ds004114,MultiRat_rest,94.78GB,,MRI,rest,https: // github.com/OpenNeuroDatasets/ds004114
26,ds004109,Emotional learning retroactively promotes memory integration through rapid neural reactivation and reorganization,111.41GB,18 - 27,MRI,elpl1rest1pl2rest3rest2,https: // github.com/OpenNeuroDatasets/ds004109
27,ds004107,MIND DATA,77.21GB,,MEGMRI,noiseauditoryindexmedianrestvisual,https: // github.com/OpenNeuroDatasets/ds004107
28,ds004106,BCIT Advanced Guard Duty,67.61GB,,EEG,GuardDuty,https: // github.com/OpenNeuroDatasets/ds004106
29,ds004105,BCIT Auditory Cueing,20.37GB,,EEG,DriveRandomSound,https: // github.com/OpenNeuroDatasets/ds004105
30,ds004103,Collaborations and deceptions in strategic interactions revealed by hyperscanning fMRI,16.7GB,,MRI,OTCG,https: // github.com/OpenNeuroDatasets/ds004103
31,ds004102,Stimulation of the dorsolateral prefrontsal cortex modulates brain cue reactivity to reward(un)availability,31.14GB,,MRI,cueexposure,https: // github.com/OpenNeuroDatasets/ds004102
32,ds004101,Resting-state fMRI data acquired before and after a course of infra-low frequency neurofeedback,821.22MB,43 - 61,MRI,rest,https: // github.com/OpenNeuroDatasets/ds004101
33,ds004097,An open-access accelerated adult equivalent of the ABCD Study neuroimaging dataset (a-ABCD),139.92GB,,MRI,Monetary Incentive Delayn-backResting State (eyes open)Stop-Signal Task,https: // github.com/OpenNeuroDatasets/ds004097
34,ds004094,Effects of temporal community structure learning on reasoning decisions,117.27GB,18 - 35,MRI,structStructured object sequences,https: // github.com/OpenNeuroDatasets/ds004094
35,ds004092,Imaging the influence of peripheral TRPV1-signaling on cerebral nociceptive processing applying fMRI-based graph theory in a resiniferatoxin rat model,11.98GB,,MRI,Value was not specified,https: // github.com/OpenNeuroDatasets/ds004092
36,ds004091,GAZE PRF,47.38GB,21 - 40,MRI,AttendFixGazeCenterFSAttendFixGazeCenterAttendFixGazeLeftAttendFixGazeRightAttendStimGazeCenterFSAttendStimGazeCenterAttendStimGazeLeftAttendStimGazeRight,https: // github.com/OpenNeuroDatasets/ds004091
37,ds004086,Triple Dissociation Revisited,8.68GB,,MRI,RecogConf,https: // github.com/OpenNeuroDatasets/ds004086
38,ds004085,sEEG Forced Two-Choice Task,12.33GB,26 - 47,iEEGMRI,SlowFast,https: // github.com/OpenNeuroDatasets/ds004085
39,ds004078,A synchronous multimodal neuroimaging dataset to study brain language processing,1.14TB,,MEGMRI,Chinese-RDRrest,https: // github.com/OpenNeuroDatasets/ds004078
40,ds004075,what_are_we_talking_about,7.39GB,,EEG,context03context09context10context11,https: // github.com/OpenNeuroDatasets/ds004075
41,ds004073,Comparing language lateralisation using fMRI and fTCD,97.21GB,,MRI,SCPDWCSDWGSG,https: // github.com/OpenNeuroDatasets/ds004073
42,ds004067,Moral conviction and metacognitive ability shape multiple stages of information processing,100.79GB,,EEG,Sociopolitical Judgment Task,https: // github.com/OpenNeuroDatasets/ds004067
43,ds004064,Queensland Twin IMaging (QTIM),15.22GB,12 - 30,MRI,,https: // github.com/OpenNeuroDatasets/ds004064
44,ds004056,Goal-directed motor task,119.7GB,19 - 32,MRI,GDMotor,https: // github.com/OpenNeuroDatasets/ds004056
45,ds004044,WholebodySomatotopicMapping,406.69GB,,,,https: // github.com/OpenNeuroDatasets/ds004044
46,ds004043,The time-course of feature-based attention effects dissociated from temporal expectation and target-related processes,30.44GB,,EEG,Temporal expectation,https: // github.com/OpenNeuroDatasets/ds004043
47,ds004042,FilmFestival,38.86GB,20 - 33,MRI,movierecall,https: // github.com/OpenNeuroDatasets/ds004042
48,ds004040,Trance channeling EEG study,11.59GB,,EEG,trance,https: // github.com/OpenNeuroDatasets/ds004040
49,ds004038,TOME-Go2022VestibularMRI,681.98MB,,MRI,,https: // github.com/OpenNeuroDatasets/ds004038
50,ds004033,Electrode walking study,19.81GB,20 - 28,EEG,mixed,https: // github.com/OpenNeuroDatasets/ds004033
51,ds004024,"TMS-EEG-MRI-fMRI-DWI data on paired associative stimulation and connectivity (Shirley Ryan AbilityLab, Chicago, IL)",1021.22GB,,EEGMRI,ccPASrestspTMSRest,https: // github.com/OpenNeuroDatasets/ds004024
52,ds004022,Multimodal EEG and fNIRS Biosignal Acquisition during Motor Imagery Tasks in Patients with Orthopedic Impairment,634.93MB,48 - 83,EEG,Motor Imagery,https: // github.com/OpenNeuroDatasets/ds004022
53,ds004021,Visuomotor Rotation Adaptation Experiment,24.37GB,,MRI,Resting StateVisuomotor Rotation TaskWashout Task,https: // github.com/OpenNeuroDatasets/ds004021
54,ds004019,Effect of obesity on arithmetic processing in preteens with high and low math skills. An event-related potentials study,17.28GB,,EEG,Math task,https: // github.com/OpenNeuroDatasets/ds004019
